time,rms_energy,spectral_centroid,spectral_rolloff,spectral_bandwidth,spectral_flatness,zero_crossing_rate,dissonance
0.0,0.0092146266251802,1840.328165315976,2239.453125,1956.7493834393915,0.0778982192277908,0.0718820861678004,0.03272783027704275
0.1,0.0102025354281067,2785.020202917358,3682.177734375,3849.483917525457,0.2531435787677765,0.0714285714285714,0.1619154454533747
0.2,0.0108315097168087,3170.610675275845,5254.1015625,4310.277831759224,0.3123229742050171,0.0659863945578231,0.36008626610875444
0.3,0.0095982020720839,3156.179439212527,5340.234375,4349.421404746738,0.3190862238407135,0.0675736961451247,0.3870782206243235
0.4,0.0087710609659552,3007.813069944628,4586.572265625,4134.943083702502,0.2944235205650329,0.0684807256235827,0.29137965422282947
0.5,0.0086802663281559,2094.246350580651,2325.5859375,2900.326505563546,0.1503969877958297,0.0768707482993197,0.0031339086901011276
0.6,0.0093345446512103,2768.6407637258735,3703.7109375,3827.4716277335096,0.251846581697464,0.0725623582766439,0.15821963508536444
0.7,0.0083111776039004,3118.541495644382,5017.236328125,4217.197350685218,0.3015943467617035,0.0698412698412698,0.31766343080815906
0.8,0.0068926345556974,2580.077062567377,3423.779296875,3684.2122724741575,0.2294435650110244,0.0657596371882086,0.10383182204477297
0.9,0.0061227888800203,2019.9674805206648,2239.453125,2696.8600271166083,0.1323841214179992,0.0675736961451247,0.0
1.0,0.0058984435163438,2102.3292661768587,2347.119140625,2879.418928688199,0.1476274281740188,0.0643990929705215,0.002096016157459971
1.1,0.0056828022934496,2242.705212509037,2820.849609375,3272.2532407423705,0.1808539927005767,0.0673469387755102,0.025275253311581352
1.2,0.0053749806247651,2759.446305625964,3940.576171875,3941.2912293162512,0.263063907623291,0.0616780045351473,0.18856109957852413
1.3,0.0052730566821992,2766.0752750008937,3962.109375,3910.666880986871,0.2618364989757538,0.0614512471655328,0.18503373972319978
1.4,0.0059444224461913,2965.837355726254,4435.83984375,4110.070644763384,0.2851691842079162,0.0673469387755102,0.25829831313102686
1.5,0.0061769839376211,3028.6171444535707,4801.904296875,4164.260475567464,0.2976710498332977,0.0698412698412698,0.3023657599921317
1.6,0.0059110918082296,2237.5779589112067,2842.3828125,3132.9507388972597,0.1753441095352172,0.0668934240362811,0.019757273454098705
1.7,0.0062531963922083,2207.5448240629225,2670.1171875,3006.4535759280357,0.1628444194793701,0.0687074829931972,0.009698882817642323
1.8,0.006493508350104,2322.797760170376,2605.517578125,3234.700869345587,0.1800343692302703,0.0777777777777777,0.024517967764875238
1.9,0.005910444073379,3278.5155372392023,5620.166015625,4375.197192989629,0.3230924606323242,0.0723356009070294,0.40286402239310726
2.0,0.0058903652243316,3354.144519972442,5943.1640625,4449.811456693313,0.3358171284198761,0.0748299319727891,0.4584501018173254
2.1,0.0065652448683977,2770.638824173387,3725.244140625,3779.126340060597,0.2458723038434982,0.0764172335600907,0.14219601616721983
2.2,0.0072018508799374,2714.829993087759,3660.64453125,3786.7925638173647,0.2443220764398574,0.0784580498866213,0.13828678217970736
2.3,0.0067294668406248,2319.911944867496,2820.849609375,3199.957651570702,0.1817978471517563,0.0662131519274376,0.026472640938224306
2.4,0.0070841796696186,2005.9002814490511,2411.71875,2671.153899483855,0.1338259577751159,0.0687074829931972,0.0
2.5,0.0077676582150161,2088.37407935697,2390.185546875,2892.1116879871875,0.1520294845104217,0.0560090702947845,0.0038356762556367024
2.6,0.0080234995111823,2290.7620436846746,2605.517578125,3207.8713347216517,0.1809581071138382,0.0632653061224489,0.025703201316565283
2.7,0.005687182303518,2698.3418367357067,3660.64453125,3862.758241154584,0.2545358836650848,0.0591836734693877,0.16479283768334568
