time,rms_energy,spectral_centroid,spectral_rolloff,spectral_bandwidth,spectral_flatness,zero_crossing_rate,dissonance
0.0,0.2076708227396011,2122.622481077102,3725.244140625,4276.380730214846,0.2530971765518188,0.0083900226757369,0.20252259224438066
0.1,0.1703386604785919,2548.812411909694,5512.5,4698.702801282918,0.308212399482727,0.0120181405895691,0.3899659935301247
0.2,0.1060526072978973,2251.782337817853,3617.578125,4082.4769436020674,0.2533653378486633,0.0233560090702947,0.18150586390766182
0.3,0.1151889562606811,2290.2349670549365,3639.111328125,4102.224066740306,0.2555585205554962,0.0292517006802721,0.18970783984669654
0.4,0.092360034584999,2673.4045559245906,5017.236328125,4446.543052292159,0.30840665102005,0.0276643990929705,0.3677163229631292
0.5,0.1017138808965683,2645.2179162914813,4888.037109375,4464.317862619118,0.30526864528656,0.028344671201814,0.3578257827171416
0.6,0.1061638668179512,2460.7785309206265,4155.908203125,4131.175513681201,0.2747396230697632,0.0269841269841269,0.24759380089651667
0.7,0.123656190931797,2029.5081463719964,3423.779296875,3496.163271171625,0.2046620696783065,0.0360544217687074,0.07146816924927721
0.8,0.1312629878520965,2097.0399367335235,3639.111328125,3492.8838882177247,0.2051355540752411,0.0408163265306122,0.07332079879484037
0.9,0.114091970026493,1942.21418659874,3596.044921875,2795.3875135848725,0.1495275944471359,0.0351473922902494,0.00633326493004078
1.0,0.1053279116749763,1843.061467405132,3359.1796875,2956.4367054572085,0.156999871134758,0.0421768707482993,0.010500996620141114
1.1,0.1090826466679573,2787.2011606010105,5426.3671875,4191.264539333537,0.3012104332447052,0.0394557823129251,0.3440787534461516
1.2,0.1124741286039352,2280.490601508839,4242.041015625,3843.9805593217297,0.2448477149009704,0.0292517006802721,0.15916909900294343
1.3,0.0976179838180542,2154.346976469541,3746.77734375,3262.6335583061723,0.1953841596841812,0.0492063492063492,0.0528544377578325
1.4,0.099620796740055,1950.3486315930704,3509.912109375,2891.084490848634,0.1519949287176132,0.0410430839002267,0.007105142724607978
1.5,0.1100040078163147,1705.675144389263,3143.84765625,2280.2005105745657,0.0949889421463012,0.0478458049886621,0.009790686063534861
1.6,0.1121954768896102,2053.4408342147885,3509.912109375,3320.355626455115,0.1919218897819519,0.0362811791383219,0.04930637552572301
1.7,0.122388482093811,2531.3550378883256,4306.640625,4219.261488401137,0.280497670173645,0.0297052154195011,0.2712333502844242
1.8,0.1311192661523819,1973.7165896534411,3014.6484375,3459.1001153263305,0.1939463913440704,0.0394557823129251,0.05447903729105277
1.9,0.1055191159248352,1764.0963512579538,2928.515625,2541.5190446903252,0.1199409589171409,0.0482993197278911,0.0
2.0,0.0862319022417068,1920.9812161928724,2906.982421875,2970.0811392802552,0.1583163291215896,0.0501133786848072,0.01050196139441372
2.1,0.1101166605949401,1848.2450556845424,2928.515625,3152.910963379192,0.1694771349430084,0.0312925170068027,0.021396369551045454
2.2,0.0923375189304351,2178.488634812587,3445.3125,3626.12369329476,0.2175299525260925,0.0380952380952381,0.09174706076507672
2.3,0.1062043383717536,1994.3106878370531,3100.78125,3299.962469602486,0.1854722201824188,0.0321995464852607,0.039669012178001076
